"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Undefined","Immature neuron","Normal","beta III tubulin, Doublecortin, NeuroD1, Stathmin 1, TBR1","Company","1","more details"
"Human","Undefined","Induced pluripotent stem cell","Normal","5T4, ABCG2, ALK4, Activin RIIB, ALPL, CBX2, CD29, KLF4, KLF5, L1TD1, LEFTY, LEFTY1, LEFTYA, LIN28A, LIN28B, LIN41, NANOG, OCT3/4, OCT4A, OCT4B, Podocalyxin, ZFP42, SMAD2, SMAD3, SOX2, SSEA-1, SSEA-3, SSEA-4, STAT3, DPPA3, SUZ12, TBX2, TBX3, TBX5, TEX19, THAP11, TRA-1-60(R), TRA-1-81, TROP2, UTF1, VISTA, ZIC3","Company","1","more details"
"Human","Undefined","Induced pluripotent stem cell","Normal","CD49f, KLF4, LIN28, NANOG, OCT4, SOX2","Company","1","more details"
"Human","Undefined","Induced pluripotent stem cell","Normal","NANOG, OCT3/4, SOX2","Company","1","more details"
"Human","Undefined","Intermediate progenitor cell","Normal","ASCL1, TBR2","Company","1","more details"
"Human","Undefined","Lymphoid cell","Normal","CD10, CD103, CD117, CD11b, CD11c, CD122, CD127, CD159a, CD16, CD160, CD161, CD178, CD183, CD194, CD196, CD212, CD217, CD218a, CD229, CD244, CD27, CD314, CD319, CD335, CD336, CD337, CD34, CD38, CD4, CD43, CD45, CD45RA, CD49d, CD56, CD57, CD62L, CD68, CD69, CD7, CD8, CD81, CD94, CXCR3, FLT3, Granzyme A, Granzyme B, IL-21R, KLRG1, ROR gamma T, ST2, ZAP70","Company","1","more details"
"Human","Undefined","M1 macrophage","Normal","CD16, CD32, CD369, CD64, CD68, CD80, CD86, IRF5, MerTK, MHC class II, STAT1","Company","1","more details"
"Human","Undefined","M2 macrophage","Normal","CD115, CD163, CD204, CD206, CD209, Fc-epsilon RI-alpha, IRF4, STAT6, VSIG4","Company","1","more details"
"Human","Undefined","Macrophage","Normal","CD105, CD107b, CD115, CD11a, CD11b, CD11c, CD14, CD15, CD16, CD32, CD163, CD195, CD282, CD284, CD33, CD64, CD68, CD80, CD85k, CD86, F4/80, GITRL, HLA-DR, Mac-2, MHC Class II","Company","1","more details"
"Human","Undefined","Macrophage","Normal","CD105, CD115, CD11b, CD15, CD169, CD195, CD282, CD284, CD33, CD354, CD40, CD63, CD68, CD80, CD85, CD86, CXCL10, CXCL11, CXCL2, CXCL9, GPNMB","Company","1","more details"
"Human","Undefined","Macrophage","Normal","CD11b, CD163, CD68","Company","1","more details"
"Human","Undefined","Marginal zone B cell","Normal","CD103, CD180, B220, CD1d, CD21, CD268, CD307d, CD81, CD9, EBF1, IgM, NOTCH2, PAX5","Company","1","more details"
"Human","Undefined","Mast cell","Normal","CD116, CD117, CD123, CD125, CD126, CD15, CD24, CD35, CD43, CD64, CD9, Fc-epsilon RI-alpha, IL-33R","Company","1","more details"
"Human","Undefined","Mast cell","Normal","CD117, CD203c, CD23, CD25, CD3, CD45, High affinity IgE receptor, IL-2","Company","1","more details"
"Human","Undefined","Mast cell","Normal","CD117, CD203c, CD32, CD33","Company","1","more details"
"Human","Undefined","Mast cell","Normal","CD117, CD203c","Company","1","more details"
"Human","Undefined","Megakaryocyte-erythroid progenitor","Normal","CD10, CD135, CD34, CD38, CD45RA, CD7, IL3R-alpha","Company","1","more details"
"Human","Undefined","Megakaryocyte erythroid cell","Normal","CCR10, CD10, CD103, CD11b, CD11c, CD122, CD126, CD127, CD13, CD130, CD140a, CD140b, CD152, CD159a, CD16, CD160, CD161, CD165, CD178, CD183, CD185, CD192, CD193, CD194, CD195, CD196, CD198, CD1a, CD1c, CD1d, CD2, CD200, CD200R, CD212, CD217, CD218a, CD229, CD23, CD244, CD25, CD27, CD278, CD279, CD294, CD3, CD304, CD31, CD314, CD34, CD38, CD39, CD4, CD43, CD45, CD45RA, CD45RO, CD48, CD49d, CD5, CD56, CD62, CD62L, CD68, CD69, CD7, CD73, CD79a, CD8, CD80, CD81, CD83, CD84, CD86, CD9, CD94, CXCR3, FLT3, Granzyme A, Granzyme B, IL-13alpha1, IL-21R, IL-9, KLRG1, MHC class, RAG, ROR gamma, ST2, TCR alpha/beta, TCR gamma/delta, ZAP70","Company","1","more details"
"Human","Undefined","Megakaryocyte","Normal","CD110, CD112, CD123, CD41, CD42a, CD42b, CD42c, CD42d, CD49f, CD51, CD61","Company","1","more details"
"Human","Undefined","Megakaryocyte","Normal","CD31, CD41, CD42b, CD51, CD61, CD62P, CD9","Company","1","more details"
"Human","Undefined","Megakaryocyte","Normal","CD41b, CD42a, CD42b, CD61","Company","1","more details"
"Human","Undefined","Memory B cell","Normal","CBF1, CD27, IgG, Pax5, Spi-B, TLR1, TLR10, TLR2, TLR6, TLR7","Company","1","more details"
"Human","Undefined","Memory B cell","Normal","CD19, CD27, IgD","Company","1","more details"
"Human","Undefined","Mesenchymal stem cell","Normal","CD105, CD106, CD166, CD29, CD349, CD44, CD54, CD73, CD90, STRO-1, TNAP","Company","1","more details"
"Human","Undefined","Mesenchymal stem cell","Normal","CD166, CD13, ALK3, ALK6, BMPR-II, CD117, CD44, CD45, CD45.1, CD45.2, CD45RO, CD73, CD90, CD105, Fibronectin, HLA Class I, CD54, CD49a, CD49e, CD51, CD29, N-Cadherin, CD56, TNFRSF16, Nucleostemin, PDGFR-alpha, SCA-1, SSEA-4, STRO-1, SUSD2, TfR, Vimentin","Company","1","more details"
"Human","Undefined","Mesoderm cell","Normal","MESDC2, N-Cadherin, Nicalin","Company","1","more details"
"Human","Undefined","Microglial cell","Normal","CD11b, CD40, CD45, CD68, F4/80, IBA1","Company","1","more details"
"Human","Undefined","Microglial cell","Normal","CD11b, CD45, CD68, CD88, CX3CR1, P2RY12, P2X7R","Company","1","more details"
"Human","Undefined","Monocyte","Normal","CD14, CD172a, CD33","Company","1","more details"
"Human","Undefined","Monocyte","Normal","CD14","Company","1","more details"
"Human","Undefined","Multipotent progenitor cell","Normal","CD34, CD38, CD45RA, CD90","Company","1","more details"
"Human","Undefined","Myeloid-derived suppressor cell","Normal","CD11b, CD124, CD15, CD33, CD66b, VEGFR-1","Company","1","more details"
"Human","Undefined","Naive B cell","Normal","CD19, CD27, CD38, IgD","Company","1","more details"
"Human","Undefined","Naive T cell","Normal","CD127, CD197, CD27, CD45RA, CD62L","Company","1","more details"
"Human","Undefined","Natural killer cell","Normal","2B4, BAT, C receptor, CC receptor, CD107a, CD117, CD11b, CD16, CD161, CD27, CD34, CD45RA, CD56, CD57, CD69, CD94, CXC chemokine receptor, DPIV, FcgRII, H25, IL-12, IL-15, IL-18, IL-2, KIR, Natural cytotoxicity receptors, NKG2A, NKH1, NKp46, NKp80","Company","1","more details"
"Human","Undefined","Natural killer cell","Normal","CD10, CD103, CD117, CD11b, CD11c, CD122, CD127, CD159a, CD16, CD160, CD161, CD178, CD183, CD194, CD196, CD212, CD217, CD218a, CD229, CD244, CD27, CD314, CD319, CD335, CD336, CD337, CD34, CD38, CD4, CD43, CD45, CD45RA, CD49d, CD56, CD57, CD62L, CD68, CD69, CD7, CD8, CD81, CD94, CXCR3, FLT3, Granzyme A, Granzyme B, IL-21R, KLRG1, ROR gamma T, ST2, ZAP70","Company","1","more details"
"Human","Undefined","Natural killer cell","Normal","CD11b, CD11c, CD122, CD158, CD16, CD161, CD244, CD314, CD319, CD32, CD328, CD335, CD49b, CD56, CD57, CD69, CD94, Ly108, Valpha24-Jalpha18 TCR","Company","1","more details"
"Human","Undefined","Natural killer cell","Normal","CD11b, CD122, CD158, CD16, CD161, CD226, CD244, CD314, CD335, CD336, CD337, CD56, CD69, CD94, E4BP4, EOMES , GATA3, ID2, KLRG1, RUNX1, T-bet, TIGIT, TOX","Company","1","more details"
"Human","Undefined","Natural killer cell","Normal","CD3, CD56, CD94, NKp46","Company","1","more details"
"Human","Undefined","Natural memory B cell","Normal","CD19, CD27, IgD, IgM","Company","1","more details"
"Human","Undefined","Neural crest cell","Normal","ASCL1, BMP4, BMP7 Heterodimer, BMP7, CHD7, FOXD3, Integrin alpha4beta1, Integrin alpha4beta7, CD49d, Neurogenin-1, Neurogenin-2, Neurogenin-3, TNFRSF16, NOTCH1, NOTCH2, Numb, PAX3, Slug, Snail, SOX10, Vimentin","Company","1","more details"
"Human","Undefined","Neural stem cell","Normal","ABCG2, ASCL1, Beta-catenin, BMI1, BRG1, Calcitonin R, CD133, CD15, CDCP1, COUP-TF, NR2F1, CXCR4, FABP7, FABP8, FGFR2, FGFR4, FOXD3, Frizzled-9, GATA2, NR6A1, GFAP, GLUT1, HOXB1, ID2, LRTM1, Meteorin, MSX1, Musashi-1, Musashi-2, N-Cadherin, Nestin, NeuroD1, Noggin, NOTCH1, NOTCH2, NRF2, Nucleostemin, Numb, OTX2, PAX3, PAX6, PDGFR-alpha, PKCzeta, Prominin 2, ROR2, RUNX1, NR2B1, sFRP-2, SLAIN1, SOX1, SOX11, SOX2, SOX21, SOX9, SSEA-1, SSEA-4, TRAF-4, Vimentin, ZIC1","Company","1","more details"
"Human","Undefined","Neural stem cell","Normal","Nestin, PAX6, SOX1, SOX2","Company","1","more details"
"Human","Undefined","Neuroepithelial cell","Normal","E-cadherin, HES1, HES3, Nestin, Notch1, Occludin, SOX2","Company","1","more details"
"Human","Undefined","Neuron","Normal","160 kDa neurofilament medium, 200kDa neurofilament heavy, MAP2, NeuN, PSD95, Synaptophysin","Company","1","more details"
"Human","Undefined","Neuron","Normal","BCL2, c-Fos, c-Src, CD100, CD106, CD112, CD133, CD15, CD166, CD172a, CD172b, CD200, CD231, CD24, CD271, CD304, CD325, CD47, CD56, CD6, CD90, CX3CL1, CX3CR1, CXCR7, Erythropoietin receptor, G-CSF, IL-11, MAP2ab, Nestin, Neurofilament heavy protein (NF-H), Neurofilament medium protein (NF-M), PAX5, PKC, TGF-beta","Company","1","more details"
"Human","Undefined","Neuron","Normal","CD143, CD166, CD171, CD200, CD230, CD24, CD271, CD304, CD6, CD90, Nestin","Company","1","more details"
"Human","Undefined","Neuron","Normal","Doublecortin","Company","1","more details"
"Human","Undefined","Neutrophil","Normal","CD11b, CD16, CD18, CD32, CD44, CD55","Company","1","more details"
"Human","Undefined","Neutrophil","Normal","S100A8, S100A9, CD10, CD112, CD114, CD116, CD15, CD157, CD17, CD177, CD181, CD24, CD281, CD282, CD284, CD286, CD289, CD35, CD43, CD66a, CD66b, CD66c, CD66d, CD89, CD93","Company","1","more details"
"Human","Undefined","Oligodendrocyte","Normal","MBP, MOG, Olig 1, Olig 2, Olig 3, OSP, SOX10","Company","1","more details"
"Human","Undefined","Pancreatic endoderm cell","Normal","FOXA2, NeuroD1, NKX6.1, PAX6, PDX1, SOX17","Company","1","more details"
"Human","Undefined","Plasma cell","Normal","BLIMP1, CD138, CD184, CD19, CD20, CD252, CD269, CD27, CD31, CD38, CD81, CD9, IRF4, XBP1","Company","1","more details"
"Human","Undefined","Plasma cell","Normal","CD19, CD20, CD38","Company","1","more details"
"Human","Undefined","Plasmacytoid dendritic cell","Normal","CD123, CD283, CD287, CD289, CD303, CD304, CD370, CD85g, E2-2, IRF8","Company","1","more details"
"Human","Undefined","Platelet","Normal","CD107a, CD107b, CD110, CD147, CD151, CD173, CD226, CD23, CD31, CD36, CD41, CD42a, CD42b, CD42c, CD42d, CD49f, CD51, CD60a, CD61, CD84, CD9, CD92, GARP, LAP","Company","1","more details"
"Human","Undefined","Platelet","Normal","CD41, CD42a, CD42b, CD61","Company","1","more details"
"Human","Undefined","Pluripotent stem cell","Normal","CD49f, KLF4, LIN28, NANOG, OCT4, SOX2","Company","1","more details"
"Human","Undefined","Primordial germ cell","Normal","BLIMP1, PRDM1, CD15, IFITM1, IFITM2, IFITM3, NANOS2, OCT1, OCT3/4, OCT4A, OCT4B, PRDM14, PUM2, SMAD1, SMAD4, SMAD5, SOX2, SSEA-1, DPPA3, VASA","Company","1","more details"
"Human","Undefined","Purkinje cell","Normal","IP3R, Calbindin, Calmodulin-dependent phosphodiesterase, CAR8, Cerebellin, cGMP-dependent protein kinase, clusterin, GABAT, GAD67, Glial fibrillary acidic protein, HDAC6, HFB-16, MAP-120, Myelin basic protein, Myelin protein zero, NMDA-NR1, Olfactory marker protein, PCA1, PCA2, PCPP260, PDE1B, PDE5, PDE9A, PEP19, PMCA, PMCA2, S100A1, SERCA, Spot 35 protein, Zebrin II","Company","1","more details"
"Human","Undefined","Pyramidal cell","Normal","CaMK2 alpha, EMX1, MAP2, MATH-2, mGluR1, mGluR5, Neurogranin, PSD95, R-PTP-gamma, SCIP, CD3E, TBR1, FEZF2","Company","1","more details"
"Human","Undefined","Radial glial cell","Normal","BLBP, GFAP, GLAST, HES1, HES5, N-cadherin, Nestin, PAX6, SOX2, TNC, Vimentin","Company","1","more details"
"Human","Undefined","Red blood cell (erythrocyte)","Normal","CD235a, CD45, CD51, CD61","Company","1","more details"
"Human","Undefined","Red blood cell (erythrocyte)","Normal","CD235a","Company","1","more details"
"Human","Undefined","Regulatory B cell","Normal","CD19, CD24, CD27, CD38","Company","1","more details"
"Human","Undefined","Regulatory T (Treg) cell","Normal","c-Rel, CD101, CD121a, CD121b, CD137, CD25, CD357, CD39, CD73, CTLA4, EOS, FOXP3, GARP, HELIOS, LAP, STAT5, TIGIT","Company","1","more details"
"Human","Undefined","Regulatory T (Treg) cell","Normal","CD103, CD134, CD152, CD194, CD223, CD25, CD39, CD4, CD62L, CD73, FOXP3, FR4, GARP, GITR, HELIOS, TGF-beta","Company","1","more details"
"Human","Undefined","Regulatory T (Treg) cell","Normal","CD25, CD4, FOXP3, IL-10, IL-12, SMAD3, STAT5, TGF-beta","Company","1","more details"
"Human","Undefined","Retinal ganglion cell","Normal","Brn-3B, Hu-1, NGF, NSCL2, PKC-alpha","Company","1","more details"
"Human","Undefined","Schwann cell","Normal","GAP43, MPZ, NCAM, S100","Company","1","more details"
"Human","Undefined","Schwann cell","Normal","Glial fibrillary acidic protein, Myelin basic protein, myelin protein zero, S100A1","Company","1","more details"
"Human","Undefined","Serotonergic neuron","Normal","PET1, Serotonin transporter, Tryptophan hydroxylase","Company","1","more details"
"Human","Undefined","Sertoli cell","Normal","Androgen-binding protein, Calretinin, Clusterin, Cyclic potein-2, Cytokeratin-18, Desert hedgehog, GATA1, GATA4, Inhibin B, M2A, mMullerian inhibiting substance, Serotonin receptor 1A, SOX9, Stem cell factor, Vimentin","Company","1","more details"
"Human","Undefined","Specialist antigen presenting cell","Normal","CD10, CD103, CD106, CD115, CD117, CD11b, CD11c, CD123, CD127, CD141, CD169, CD183, CD192, CD196, CD198, CD1a, CD1c, CD1d, CD205, CD206, CD207, CD209, CD21, CD23, CD282, CD289, CD303, CD304, CD319, CD324, CD33, CD34, CD38, CD39, CD40, CD45RA, CD48, CD49d, CD5, CD68, CD73, CD80, CD81, CD83, CD85g, CD86, CXCR3, Dectin-1, Flt3, MHC class II, TLR7","Company","1","more details"
"Human","Undefined","Stem cell","Normal","CD117, CD164, CD34","Company","1","more details"
"Human","Undefined","Stromal cell","Normal","CD10, CD102, CD106, CD117, CD140a, CD140b, CD29, CD31, CD49d, CD50, CD51, CD61, CD54, CD90, LT-betaR, MADCAM1, MMP1, MMP2, MMP9, GD2, Podoplanin, TIMP1, TIMP2, TLR1, TLR2, TLR3, TLR4","Company","1","more details"
"Human","Undefined","Stromal cell","Normal","CD10, CD157, CD34, Podoplanin, Stro-1","Company","1","more details"
"Human","Undefined","T cell","Normal","CCR10, CD10, CD103, CD11b, CD11c, CD122, CD126, CD127, CD13, CD130, CD140a, CD140b, CD152, CD159a, CD16, CD160, CD161, CD165, CD178, CD183, CD185, CD192, CD193, CD194, CD195, CD196, CD198, CD1a, CD1c, CD1d, CD2, CD200, CD200R, CD212, CD217, CD218a, CD229, CD23, CD244, CD25, CD27, CD278, CD279, CD294, CD3, CD304, CD31, CD314, CD34, CD38, CD39, CD4, CD43, CD45, CD45RA, CD45RO, CD48, CD49d, CD5, CD56, CD62, CD62L, CD68, CD69, CD7, CD73, CD79a, CD8, CD80, CD81, CD83, CD84, CD86, CD9, CD94, CXCR3, Flt3, Granzyme A, Granzyme B, IL-13alpha1, IL-21R, IL-9, KLRG1, MHC class II, RAG, ROR gamma T, ST2, TCR alpha/beta, TCR gamma/delta, ZAP70","Company","1","more details"
"Human","Undefined","T cell","Normal","CD3","Company","1","more details"
"Human","Undefined","T helper cell","Normal","CCR10, CD10, CD103, CD126, CD127, CD140a, CD140b, CD161, CD165, CD178, CD183, CD185, CD193, CD194, CD195, CD196, CD198, CD1a, CD200, CD212, CD218a, CD25, CD279, CD294, CD3, CD34, CD38, CD39, CD4, CD45RA, CD45RO, CD5, CD62, CD62L, CD7, CD73, Flt3, IL-13alpha1, IL-21R, IL-9, TCR alpha/beta","Company","1","more details"
"Human","Undefined","T helper1 (Th1) cell","Normal","CCR1, CCR5, CD119, CD183, CD195, CD26, CD4, CD94, CXCR3, IFN-gamma, IL-18R, LT-betaR, Tbet, TIM-3, TNF-alpha, TNF-beta","Company","1","more details"
"Human","Undefined","T helper1 (Th1) cell","Normal","CD119, CD183, CD186, CD191, CD195, CD212, CD218a, CD254, CD366, CD94, STAT1, STAT4, T-bet","Company","1","more details"
"Human","Undefined","T helper1 (Th1) cell","Normal","CD119, CD183, CD191, CD195, CD254, CD26, CD366, CD4, CD94, GM-CSF, IFN-gamma, IL-18R, IL-2, LT-betaR, T-bet, TNF-alpha, TNF-beta","Company","1","more details"
"Human","Undefined","T helper1 (Th1) cell","Normal","CD4, CXCR3, IFN-gamma, IL-12, IL-18, IL-2, IL-27, LT-alpha, Stat1, Stat6, T-bet, TNF","Company","1","more details"
"Human","Undefined","T helper17 (Th17) cell","Normal","AHR, BATF, c-Maf, CD121a, CD161, CD194, CD196, CD212, CD360, IL-23R, IRF4, NFKBIZ, ROR-alpha, ROR gamma T, STAT3","Company","1","more details"
"Human","Undefined","T helper17 (Th17) cell","Normal","CCL20, CCR6, CD4, IL-1, IL-17A, IL-17F, IL-21, IL-22, IL-23, IL-26, IL-6, ROR-alpha, ROR gamma T, STAT3, TGF-beta, TNF","Company","1","more details"
"Human","Undefined","T helper17 (Th17) cell","Normal","CD161, CD194, CD196, CD3, CD38, CD4, IL-17A, IL-17F, IL-1R, IL-21, IL-22, ROR-alpha, ROR gamma T, STAT3, TGF-beta","Company","1","more details"
"Human","Undefined","T helper2 (Th2) cell","Normal","BATF, CD184, CD194, CD198, CD294, CD365, GATA3, IL-25R, IL-33R, IRF4, STAT6","Company","1","more details"
"Human","Undefined","T helper2 (Th2) cell","Normal","c-Maf, CCR8, CD184, CD193, CD194, CD197, CD278, CD294, CD365, CD4, GATA3, GM-CSF, IL-10, IL-13, IL-1R, IL-4, IL-5, IL-6","Company","1","more details"
"Human","Undefined","T helper2 (Th2) cell","Normal","CCR4, CD4, Crth2, GATA3, IL-13, IL-2, IL-33, IL-4, IL-5, IL-6, STAT5, STAT6","Company","1","more details"
"Human","Undefined","T helper2 (Th2) cell","Normal","CCR8, CD184, CD193, CD194, CD197, CD278, CD4, GATA3, TNF-RI, IL-10, IL-13, IL-1R, IL-4, IL-5, IL-9","Company","1","more details"
"Human","Undefined","T helper9 (Th9) cell","Normal","CD3, CD4, GATA3, IRF4, STAT6, TCR alpha/beta","Company","1","more details"
"Human","Undefined","T helper9 (Th9) cell","Normal","CD4, GATA3, IL-10, IL-4, IL-9, STAT6, TGF-beta","Company","1","more details"
"Human","Undefined","Cancer stem cell","Osteosarcoma","ABCG2, CD44, CD105, Nestin, STRO-1","Company","1","more details"
"Human","Undefined","Cancer stem cell","Ovarian Cancer","AMACR, CD117, CD44, CD105, Ovastacin","Company","1","more details"
"Human","Undefined","Cancer stem cell","Ovarian Cancer","CD117, CD133, CD24, CD44","Company","1","more details"
"Human","Undefined","Cancer stem cell","Pancreatic Cancer","Aldehyde Dehydrogenase 1-A1, BMI1, CD24, CD44, CXCR4, EpCAM, PON1","Company","1","more details"
"Human","Undefined","Cancer stem cell","Prostate Cancer","ABCG2, ALCAM, ALDH1A1, BMI1, CD133, CD24, CD44, EpCAM","Company","1","more details"
"Human","Undefined","Cancer stem cell","Prostate Cancer","ABCG2, CD166, ALDH1A1, AMACR, BMI1, CD151, CD44, c-Maf, c-Myc, TRA-1-60","Company","1","more details"
